,pros,negs,profession,day,month,year
0,"Family-friendliness, Low hierarchy, Great people",Difficult working with other Deloittes,Senior Manager,9,Dec,2021
1,Flexibility around moving to other groups,Work-life balance can sometimes be a hit or miss,Corporate Development Consultant,9,Dec,2021
2,"Good Exposure, brand value, diversity.","High working hours, work pressure",Assistant Manager,9,Dec,2021
3,"Good team vibe, diversity, good training budget",Inflexible promotion and low pay,Cyber Risk Consultant,9,Dec,2021
4,Culture and opportunities is a big positive you should consider,The promotion cycle is long and sometimes the work is stressful,Financial Analyst,9,Dec,2021
5,"Great Infrastructure
Get to learn a lot of things
Good Salaries","Absolutely no work life balance 
Micromanagement",Audit Assistant,23,Dec,2021
6,"Usually you get to work with really lovely people, the people make the job.
Good work/life balance. Flexible to working from home.","Below market pay and not willing to move
No progression with new restructure
EA restructure ruined the company and the EA community
Overworked and underpaid",Senior Executive Assistant,23,Dec,2021
7,"Very employee friendly especially for family 
Understanding leadership
Good benefits","Reporting structure is confusing
Mid management is very political",Consultant,7,Dec,2021
8,good working culture and employee-centric,work in busy season and sometime hectic,Consultant,7,Dec,2021
9,"* growth paths
* internal expertise
* people
* leadership
* consulting","* standardized growth paths
* career influenced due to your own network",Senior Consultant,8,Dec,2021
10,Flexible working. Lot of options if you want to change team / channel inside the company,Comparatively less salary than other firms,Senior Software Engineer,23,Feb,2022
11,Good pay and good name recognition,"Poor work life balance, tons of non-client work around performance review, providing feedback, firm contributions to name a few. Some managers are awful to work with.",Senior Consult,10,Mar,2022
12,"Great learning opportunities
Strong mentorship
Challenging and engaging work","Work-life balance
Requirement to contribute to the firm in multiple facets",Analyst,22,Feb,2022
13,"its easy work, but you should be really organized for it to be easy. if you are not an organized person, you will not like this job.","not fully remote. have to go into the office twice a week... no, thats not bad, but I wish it was an option instead of a mandate.",Executive Coordinator,23,Feb,2022
14,"Perks (travel, food expenses, PTO accrual, wellness subsidy, etc.) salary",Lack of consideartion and support regarding one's preferred career,Technology Consultant,22,Feb,2022
15,Awesome place that’s for sure.,No cons to share as of right now,Senior Project Analyst,23,Feb,2022
16,"It provides Diversity, exposure, training",Staffing situation is poor during busy season,Senior Advisory Consultant,23,Feb,2022
17,there's a lot of benefits at Deloitte,"there are not many bad things, great culture",Manager,22,Feb,2022
18,"- Good benefits
- Good people depending on project","-not much
- Projects may vary",Consultant,22,Feb,2022
19,"pay is competitive and trajectory is great too, great experience and brand value will get you considered at most other companies.",Can feel unstructured at first,Analyst II,22,Feb,2022
20,"Flexibile, interesting assignments, good comp",Experiences will be different depending on partners you work with.,Senior Consultant,21,Feb,2022
21,"Great bonuses, flexibility, working with smart people","Having to deal with ambiguous clients, lack of insight into larger context, emphasis on the surface level",Senior Consultant,22,Feb,2022
22,"- Management directly above you does seem to care, I had the partner herself reach out to me to just check in, and she sent me peppermint bark for Christmas.
- The disconnects are awesome. 2 weeks off at the end of the year, 4 day disconnect for Memorial Day, 4 day disconnect for July 4th
- Everyone in Global Trade Advisory is super nice and very willing to help, I was never afraid of pinging someone to ask a question, no matter how “above” me they were.
- Lots of flexibility in the face of COVID. Expecting that there will be travel expectation for the weeks you have to be at client site, but I think the WFH the remaining weeks will carry forward.","- The team is INCREDIBLY oversold on projects. There is not enough staffing on any of them and so those that ARE staffed on projects have to pick up the slack and take on extra work. I would say I work 50-60 hour weeks sometimes, especially on projects where there’s an expectation of collaboration with global teams.
- Beyond like super dry trainings that you won’t retain well because there’s no practical application opportunities immediately, there’s like no training for this job. All the trainings you have to do when you join are for tax accountants and have nothing to do with what your job will require.
- Unless you’re in one of the cities with a large team presence there, you will feel pretty isolated from the rest of the team, and very isolated from the rest of Deloitte as a whole. No one will know what you’re talking about if you say you’re in GTA. If you go to Deloitte University, you won’t really relate to anyone there.",Global Trade Advisory Consultant,3,Mar,2022
23,"A ton of resources, help, connections.",hard to move up the ladder,Solution Analyst,8,Mar,2022
24,"Great benefits, flexible, people, pay, inclusive",nothing that I can think of to be honest.,Manager,20,Feb,2022
25,Compás y treats it’s employees well and has a lot of benefits. Work hour can be long but there is a lot of flexibility.,Hard to meet people since there is limited travel and tarn meme ver live all over the country.,Senior Consultant,21,Feb,2022
26,"good people, good benefits, versatility","Stressful, unreasonable expectations, work life balance",Manager,21,Feb,2022
27,They paid me quite a bit more than the Army did. I generally enjoyed my colleagues.,The work was not terribly interesting. Comp was behind competitors,Consultant,21,Feb,2022
28,"Long term projects 
Stability 
Job security","Too much work, weekends, late nights etc
Management will make us feel overtime is normal and expected",Senior Solution Specialist,7,Mar,2022
29,Good culture with desire to support work / life balance in consulting. Large consultancy with flexibility to shape your own career,Experience is very dependent upon project and client. Very little training provided. Very disorganized talent experience,Consulting Manager,18,Feb,2022
30,very friendly staff and a lot of benefits,no work and life balance,Investment Banking Associate,20,Feb,2022
31,smart people are here to work for meaning,work can be tiring at times with work to do,Business Technology Analyst,7,Mar,2022
32,"People are smart and motivated. 
Company incentives, programs and training/education is second to none. Attention to employees' well-being is the engrained into the culture. 
It's fun to be around happy people and Deloitte has been a great place to learn, grow and be around a diverse group of professionals who enjoy their work","Complex company structure, it takes a while to understand.",IT Consultant/Senior IT Consultant,16,Feb,2022
33,"Lot of work flexibility, long paternity leavge","very poor 401k plan, no professional advancement structure",Analytics Manager,16,Feb,2022
34,Good work life balance in the GPS practice,MPPs not paid as much as MBAs in the Government and Public Services practice,GPS Senior Consultant,17,Feb,2022
35,Surrounded by very talented people. Given all the tools to succeed,A lot of responsibility. Tough to not get burnt out,Tax Manager,18,Feb,2022
