,pros,negs,profession,day,month,year
0,"Flexibility, benefits, compensation, Trainings, etc","Busy projects, too much work, etc, etc, etc",Consultant,7,Dec,2021
1,"Good work culture, excellent team",Super hectic during tax season,Tax Consultant I,7,Dec,2021
2,"Work culture, employee benefits, people","Avg. compensation compared to competitors, work hours",Manager,7,Dec,2021
3,Good projects and onsite teams,Micromanagement and less compensation/total rewards policy,Associate Solution Advisor,8,Dec,2021
4,Good company Big Hard working,"Consultancy long hours intense, competitive and Not transparent",Director,8,Dec,2021
5,"Organization's work culture
Employee benefits
good perks offered
professional lifestyle
incentives are good","project-related issues
work-life balance
shift schedules
saturation in learning
no cross skilling or less learning opportunities",BTA Analyst,8,Dec,2021
6,Good seniors managers good benefits,Work timings at times are bit bad,Analyst,8,Dec,2021
7,Good work culture can be,Work pressure can be there,Consulting,8,Dec,2021
8,"The pay was fair and people where supportive
Meetings were kept short and to the point",Too many platforms/channels of communication,Senior Manager,8,Dec,2021
9,Great company to work for,"Toxic environment in few teams, but this can happen at any company",Audit Senior Associate,8,Dec,2021
10,Exciting clients and colleagues. Job improved dramatically without regular travel.,"Compensation trails MBB, Parthenon, Strategy&. Most of the work is operations, rather than strategy, oriented.",Business Analyst,16,Jul,2021
11,"Excellent training programs, vacation plan and healthcare","If you are looking for an accelerated career trajectory, there is a very defined promotion timeline and burn and churn culture in the interim.",Manager,16,Jul,2021
12,You get to put Deloitte on your resume and work with smart and driven people. Pay is decent for a book keeping type role. Deloitte has good company perks and outside of the EFA practice really treats their employees well.,"The EFA practice is treated like second hand citizens to the client-facing management consultants that they do the bookkeeping for. Perfect example... the actual consulting practice in Deloitte has a program that will help you prepare and pay for your MBA (even if its a $200K M7); In stark contrast, the EFA practice will not provide you with anything. Unlike other roles at Deloitte, the EFA practice does not provide you with hard skills and transferable knowledge (aside from basic Excel... and the ""soft skills"" of sucking up to partners and pumping up their egos). To compound this career deteriorating aspect, it is virtually impossible to transfer to client-facing strategy & ops (i.e. real management consulting) once you are in the EFA practice.",Engagement Financial Advisor Consultant,28,Jul,2021
13,"Easygoing, ok salary and a great staff. Managers arent that bad either. sleeping half the day away. Great lunchroom too.","The managers might not be bad, but they are straight up discriminatory towards some customers. Usually old people. They also really hate kids and any employees with kids.",Social Media Specialist,30,Jul,2021
